Candidato;Palavra;Quantidade;Percentual;Acumulado
Lula;SEQUEIRA;1;0;0
Lula;DIRETO;89;0;0
Lula;TEATRO;15;0;0
Lula;INVESTIU;12;0;0
Lula;CUIDAR;60;0;0
Lula;DUVIDO;29;0;0
Lula;PREFEITO;95;0;0
Lula;DIGA;14;0;0
Lula;DISTRATEI;1;0;0
Lula;REGULACAO;11;0;0
Lula;DEVERIA;68;0;0
Lula;ESPANTAR;3;0;0
Lula;EMPRESARIO;37;0;0
Lula;COMUNICACAO;58;0;0
Lula;LEI;124;0;0
Lula;CERTO;50;0;0
Lula;FAMILIAS;57;0;0
Lula;DOMINAREM;2;0;0
Lula;DITADURA;36;0;0
Lula;TORTURA;5;0;0
Lula;NOTA;76;0;0
Lula;INSTITUTO;86;0;0
Lula;HISTORICO;29;0;0
Lula;DEDICADOS;1;0;0
Lula;TRANSFORMACAO;14;0;0
Lula;FORMALIZAMOS;3;0;0
Lula;MICRO;7;0;0
Lula;PEQUENOS;21;0;0
Lula;EMPREENDEDORES;2;0;0
Lula;SALARIO;114;0;0
Lula;MINIMO;55;0;0
Lula;AUMENTOU;25;0;0
Lula;CULTURAL;12;0;0
Lula;CORDISBURGO;11;0;0
Lula;MG;74;0;0
Lula;MOSTRA;22;0;0
Lula;INQUERITO;9;0;0
Lula;INTENCAO;8;0;0
Lula;ESCLARECER;7;0;0
Lula;CRIADO;21;0;0
Lula;PRONAF;12;0;0
Lula;VOLTADO;3;0;0
Lula;AGRICULTOR;18;0;0
Lula;EXPANDIDO;1;0;0
Lula;FORTALECIDO;2;0;0
Lula;CHEGANDO;29;0;0
Lula;LINHAS;5;0;0
Lula;SEMIARIDO;14;0;0
Lula;ALIMENTOS;21;0;0
Lula;LUTAR;91;0;0
Lula;REALIZAR;12;0;0
Lula;SONHO;56;0;0
Lula;ESTUDAR;67;0;0
Lula;CHURRASQUINHO;1;0;0
Lula;TOMAR;51;0;0
Lula;CACHACINHA;1;0;0
Lula;CANTO;12;0;0
Lula;OUVIDO;10;0;0
Lula;MINISTRO;71;0;0
Lula;TEMER;181;0;0
Lula;CONFIRMA;16;0;0
Lula;BOLSONARO;223;0;0
Lula;CONTINUIDADE;5;0;0
Lula;AGENDA;20;0;0
Lula;MALDADES;3;0;0
Lula;RAZAO;37;0;0
Lula;ANDAR;86;0;0
Lula;BAIXA;13;0;0
Lula;APRENDI;50;0;0
Lula;MAE;83;0;0
Lula;ERGUIDA;51;0;0
Lula;MARTINS;21;0;0
Lula;CONCEDE;21;0;0
Lula;SAIDA;23;0;0
Lula;POLICIA;104;0;0
Lula;PRECISA;246;0;0
Lula;INDUTOR;13;0;0
Lula;PROMOVER;10;0;0
Lula;PESSOAL;31;0;0
Lula;BRASILEIROS;149;0;0
Lula;PERDERAM;12;0;0
Lula;PERSPECTIVA;9;0;0
Lula;CURSAR;2;0;0
Lula;ASSISTA;207;0;0
Lula;INTEGRA;117;0;0
Lula;PRISAO;247;0;0
Lula;JORNALISTA;34;0;0
Lula;ESFORCO;11;0;0
Lula;TORNAR;19;0;0
Lula;CANDIDATURA;137;0;0
Lula;AGOSTO;28;0;0
Lula;SIDO;64;0;0
Lula;COMBATIVIDADE;1;0;0
Lula;OSVALDO;3;0;0
Lula;REGIAOEM;2;0;0
Lula;CONSTRUCAO;29;0;0
Lula;MINAS;80;0;0
Lula;DEMOCRATICA;26;0;0
Lula;PLURAL;1;0;0
Lula;SOLIDARIA;6;0;0
Lula;FILIESE;3;0;0
Lula;ESPERO;42;0;0
Lula;SUPREMA;9;0;0
Lula;CORTE;54;0;0
Lula;JUSTICA;195;0;0
Lula;BENEFICIO;12;0;0
Lula;JULGADO;30;0;0
Lula;MERITO;17;0;0
Lula;PROCESSO;191;0;0
Lula;JUNTOS;83;0;0
Lula;SEREMOS;9;0;0
Lula;CAPAZES;9;0;0
Lula;RECONSTRUIR;18;0;0
Lula;CAETANO;19;0;0
Lula;VELOSO;7;0;0
Lula;CARMEN;3;0;0
Lula;LUCIA;4;0;0
Lula;POSSE;26;0;0
Lula;PRESIDENTA;221;0;0
Lula;STF;39;0;0
Lula;AOVIVO;1;0;0
Lula;EMISSORA;6;0;0
Lula;PODEROSA;4;0;0
Lula;RECONHECEU;9;0;0
Lula;MILITAR;35;0;0
Lula;PEDIU;30;0;0
Lula;QUASE;87;0;0
Lula;LIBERTARIA;1;0;0
Lula;CONHECEM;13;0;0
Lula;PRECONCEITO;37;0;0
Lula;EDITORIAL;5;0;0
Lula;RADIOS;8;0;0
Lula;BAHIA;84;0;0
Lula;PESAR;9;0;0
Lula;MORTE;22;0;0
Lula;GARCIA;7;0;0
Lula;DESCOBRIU;4;0;0
Lula;CANCER;6;0;0
Lula;CONHECO;11;0;0
Lula;MANDAVA;3;0;0
Lula;DIPLOMATA;5;0;0
Lula;ESTRANGEIRAS;7;0;0
Lula;GANHAR;120;0;0
Lula;TITULO;91;0;0
Lula;DEFESA;270;0;0
Lula;PARTICIPE;46;0;0
Lula;PRECISO;130;0;0
Lula;PARAR;43;0;0
Lula;BOBAGEM;6;0;0
Lula;CORTAR;16;0;0
Lula;ESTATAISQUEM;1;0;0
Lula;LEGADO;51;0;0
Lula;ACHO;85;0;0
Lula;SABEMOS;33;0;0
Lula;ELITE;128;0;0
Lula;CHEGA;81;0;0
Lula;TRUCIDADO;1;0;0
Lula;JUSCELINO;8;0;0
Lula;MILITANCIA;47;0;0
Lula;POSTOS;13;0;0
Lula;CAXIAS;30;0;0
Lula;COMICIO;66;0;0
Lula;NOCAO;27;0;0
Lula;ACONTECENDO;63;0;0
Lula;COMPREENDA;1;0;0
Lula;COMETER;5;0;0
Lula;ERROS;21;0;0
Lula;CONTAR;28;0;0
Lula;UTILIZAR;4;0;0
Lula;DEPOIMENTO;66;0;0
Lula;DELATOR;10;0;0
Lula;INFORMAL;1;0;0
Lula;JUSTIFICAR;13;0;0
Lula;CONDENACAO;27;0;0
Lula;PERCEBEMOS;2;0;0
Lula;ESCOLHER;31;0;0
Lula;PEDACO;4;0;0
Lula;BIFE;1;0;0
Lula;GERACAO;35;0;0
Lula;CRIOU;43;0;0
Lula;CARTEIRA;23;0;0
Lula;ASSINADA;15;0;0
Lula;VARIACAO;2;0;0
Lula;COMPARACAO;5;0;0
Lula;CAMINHADA;163;0;0
Lula;KATIA;5;0;0
Lula;GOVERNADORA;12;0;0
Lula;GOIANIA;10;0;0
Lula;MOVIMENTO;57;0;0
Lula;SINDICAL;31;0;0
Lula;CONTA;105;0;0
Lula;DEFENDER;94;0;0
Lula;SOBERANIA;106;0;0
Lula;COMECOU;76;0;0
Lula;FERRAZ;4;0;0
Lula;VASCONCELOS;4;0;0
Lula;ESTARA;31;0;0
Lula;REPRESENTADO;7;0;0
Lula;NUMERO;43;0;0
Lula;PORTO;61;0;0
Lula;ALEGRE;40;0;0
Lula;CLARA;2;0;0
Lula;CONSELHEIRA;1;0;0
Lula;VIGILIA;114;0;0
Lula;EXPLICACAO;20;0;0
Lula;DATAR;1;0;0
Lula;MARINHO;32;0;0
Lula;RECURSOS;27;0;0
Lula;FEDERAIS;42;0;0
Lula;PREFEITURAS;6;0;0
Lula;ABC;29;0;0
Lula;PAULISTA;31;0;0
Lula;BUSH;23;0;0
Lula;GUERRA;37;0;0
Lula;SADDAM;4;0;0
Lula;HUSSEIN;1;0;0
Lula;VENCEMOS;4;0;0
Lula;AGRADAR;3;0;0
Lula;BRADESCO;2;0;0
Lula;CITIBANK;1;0;0
Lula;ITAU;3;0;0
Lula;CONSERTAR;52;0;0
Lula;DESEMBARCA;4;0;0
Lula;TERCAFEIRA;21;0;0
Lula;CEARA;41;0;0
Lula;FALTAM;20;0;0
Lula;ALERTAR;1;0;0
Lula;GARANTIR;52;0;0
Lula;FUTURO;124;0;0
Lula;LIMITES;5;0;0
Lula;QUISER;66;0;0
Lula;SOBERANO;19;0;0
Lula;SOFRIMENTO;13;0;0
Lula;VENHO;11;0;0
Lula;NORDESTE;143;0;0
Lula;IGNORANTE;9;0;0
Lula;TARCISIO;11;0;0
Lula;SUCESSOR;2;0;0
Lula;COMPANHEIRO;69;0;0
Lula;PLENARIA;13;0;0
Lula;PECO;29;0;0
Lula;QUERIDO;22;0;0
Lula;AMIGO;40;0;0
Lula;CUIDE;4;0;0
Lula;CARINHO;71;0;0
Lula;GOSTARIA;25;0;0
Lula;CUIDANDO;6;0;0
Lula;LULAFOTO;8;0;0
Lula;CRIAMOS;73;0;0
Lula;VIRAREM;2;0;0
Lula;CONSUMIDORES;6;0;0
Lula;MUDAR;71;0;0
Lula;LULAQUANDO;1;0;0
Lula;FINANCIA;3;0;0
Lula;ESTUDANTE;16;0;0
Lula;GASTO;45;0;0
Lula;CARCERE;9;0;0
Lula;MANTEM;11;0;0
Lula;APRISIONADO;1;0;0
Lula;ENCARCEROU;3;0;0
Lula;MANDELA;20;0;0
Lula;LEMBRAMOS;4;0;0
Lula;GRANDES;30;0;0
Lula;HOMENS;23;0;0
Lula;ESTARAO;9;0;0
Lula;LIXEIRA;2;0;0
Lula;AFIRMOU;46;0;0
Lula;FUNDADOR;5;0;0
Lula;PODEMOS;89;0;0
Lula;PASSOU;68;0;0
Lula;PERCEBERAM;6;0;0
Lula;EPOCA;23;0;0
Lula;CONGRESSO;122;0;0
Lula;NACIONAL;243;0;0
Lula;FOTOGRAFIA;3;0;0
Lula;PIOR;22;0;0
Lula;ADVOGADOS;77;0;0
Lula;GENEBRA;7;0;0
Lula;DESRESPEITO;6;0;0
Lula;DETERMINACOES;3;0;0
Lula;CHAMAR;22;0;0
Lula;LADRAO;13;0;0
Lula;DEIXAR;96;0;0
Lula;ALIMENTE;1;0;0
